Contaminant type,Compound,Source,Unit,Concentration,Reference,doi
Metals,Fe,Effluent,µg/L,884,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Fe,Effluent,µg/L,3700,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Influent,µg/L,36400,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Influent,µg/L,4450,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Influent,µg/L,3000,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Influent,µg/L,4610,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Influent,µg/L,660,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Influent,µg/L,18600,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Influent,µg/L,1650,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Influent,µg/L,8830,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Influent,µg/L,3800,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Influent,µg/L,4250,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Effluent,µg/L,1110,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Effluent,µg/L,650,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Effluent,µg/L,830,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Effluent,µg/L,1620,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
Metals,Al,Effluent,µg/L,746,International Stormwater BMP database (downloaded on 11/27/2020),http://www.bmpdatabase.org/index.htm
